machine_speed,stock_flow,filler_flow,steam_pressure,moisture,ash,caliper,predicted_basis_weight,predicted_deviation_pct,off_spec,change_penalty
812.396,66.045,16.943,4.7,5.949,7.588,92.544,91.26624,8.733757019042969,1,3.9999999999999964
812.396,66.045,16.943,4.8,5.949,7.588,92.544,91.07125,8.928749084472656,1,3.0
812.396,66.045,16.943,4.9,5.949,7.588,92.544,91.19624,8.803756713867188,1,4.000000000000005
812.396,66.045,16.943,5.0,5.949,7.588,92.544,91.19199,8.808006286621094,1,5.000000000000002
812.396,66.045,16.943,5.1,5.949,7.588,92.544,91.336334,8.663665771484375,1,5.999999999999998
812.396,68.045,16.943,4.5,5.949,7.588,92.544,91.54406,8.455940246582031,1,4.999999999999998
812.396,68.045,16.943,4.6,5.949,7.588,92.544,91.525734,8.474266052246094,1,4.000000000000002
812.396,68.045,16.943,4.7,5.949,7.588,92.544,91.14257,8.857429504394531,1,2.9999999999999964
812.396,68.045,16.943,4.8,5.949,7.588,92.544,90.94423,9.055770874023438,1,2.0
812.396,68.045,16.943,4.9,5.949,7.588,92.544,91.111244,8.888755798339844,1,3.0000000000000053
812.396,68.045,16.943,5.0,5.949,7.588,92.544,91.099754,8.900245666503906,1,4.000000000000002
812.396,68.045,16.943,5.1,5.949,7.588,92.544,91.24555,8.754447937011719,1,4.999999999999998
812.396,70.045,16.943,4.5,5.949,7.588,92.544,90.956116,9.04388427734375,1,5.999999999999998
812.396,70.045,16.943,4.6,5.949,7.588,92.544,90.937805,9.06219482421875,1,5.000000000000002
812.396,70.045,16.943,4.7,5.949,7.588,92.544,90.62614,9.373863220214844,1,3.9999999999999964
812.396,70.045,16.943,4.8,5.949,7.588,92.544,90.46171,9.538291931152344,1,3.0
812.396,70.045,16.943,4.9,5.949,7.588,92.544,90.613075,9.386924743652344,1,4.000000000000005
812.396,70.045,16.943,5.0,5.949,7.588,92.544,90.620415,9.379585266113281,1,5.000000000000002
812.396,70.045,16.943,5.1,5.949,7.588,92.544,90.76348,9.236518859863281,1,5.999999999999998
812.396,72.045,16.943,4.5,5.949,7.588,92.544,90.9848,9.01519775390625,1,6.999999999999998
812.396,72.045,16.943,4.6,5.949,7.588,92.544,90.96649,9.03350830078125,1,6.000000000000002
812.396,72.045,16.943,4.7,5.949,7.588,92.544,90.68445,9.3155517578125,1,4.9999999999999964
812.396,72.045,16.943,4.8,5.949,7.588,92.544,90.53174,9.46826171875,1,4.0
812.396,72.045,16.943,4.9,5.949,7.588,92.544,90.683105,9.31689453125,1,5.000000000000005
812.396,72.045,16.943,5.0,5.949,7.588,92.544,90.67445,9.325546264648438,1,6.000000000000002
812.396,72.045,16.943,5.1,5.949,7.588,92.544,90.81212,9.187881469726562,1,6.999999999999998
812.396,74.045,16.943,4.5,5.949,7.588,92.544,90.94058,9.059417724609375,1,7.999999999999998
812.396,74.045,16.943,4.6,5.949,7.588,92.544,90.92226,9.077743530273438,1,7.000000000000002
812.396,74.045,16.943,4.7,5.949,7.588,92.544,90.62644,9.373558044433594,1,5.9999999999999964
812.396,74.045,16.943,4.8,5.949,7.588,92.544,90.46201,9.537986755371094,1,5.0
812.396,74.045,16.943,4.9,5.949,7.588,92.544,90.60306,9.396942138671875,1,6.000000000000005
812.396,74.045,16.943,5.0,5.949,7.588,92.544,90.594406,9.405593872070312,1,7.000000000000002
812.396,74.045,16.943,5.1,5.949,7.588,92.544,90.735794,9.264205932617188,1,7.999999999999998
822.396,62.045,16.943,4.5,5.949,7.588,92.544,91.83756,8.162437438964844,1,6.999999999999998
822.396,62.045,16.943,4.6,5.949,7.588,92.544,91.81925,8.180747985839844,1,6.000000000000002
822.396,62.045,16.943,4.7,5.949,7.588,92.544,91.33618,8.663818359375,1,4.9999999999999964
822.396,62.045,16.943,4.8,5.949,7.588,92.544,91.12198,8.878021240234375,1,4.0
822.396,62.045,16.943,4.9,5.949,7.588,92.544,91.28221,8.717788696289062,1,5.000000000000005
822.396,62.045,16.943,5.0,5.949,7.588,92.544,91.266174,8.73382568359375,1,6.000000000000002
